,sample_id,cell_label,cell_area,nucleus_count,nucleus_area,nucleus_frac,mito_frac,glycogen_frac,er_frac,cyto_frac
139,854,140,11113730,1,1613641,0.14519346789961607,0.1126978971056522,0.14217692889785877,0.038848253466657906,0.5610834526302151
140,854,141,245096,0,0,0.0,0.029559845937918203,0.1847969775108529,0.0184376734014427,0.7672055031497862
141,854,142,8031150,0,0,0.0,0.11402987118905761,0.16264046867509635,0.03554970334260971,0.6877799567932363
142,854,143,5356633,0,0,0.0,0.13953914707242404,0.17345821526320732,0.02611883248301685,0.6608838051813518
143,854,144,3548182,1,206838,0.058294078488645734,0.08317837134622745,0.2801629115981086,0.03302057222543826,0.54534406634158
144,854,145,4187052,0,0,0.0,0.09070630123533216,0.23276352908920167,0.03366354179503861,0.6428666278804276
145,854,146,4386996,1,1040794,0.23724525848667288,0.07915598737723946,0.16612711750819922,0.03947507588336073,0.4779965607445277
146,854,147,3130101,0,0,0.0,0.1023503714416883,0.25261389328970535,0.02233633994558003,0.6226993953230263
147,854,148,498502,0,0,0.0,0.11272171425591071,0.13507468375252255,0.021129303392965326,0.7310742985986014
148,854,149,1868144,0,0,0.0,0.13350255654810336,0.145710930206665,0.02469188670680633,0.6960946265384254
149,854,150,8199202,1,1704663,0.20790596450727766,0.1367708711164818,0.17787133430789973,0.03373279497199849,0.4437190350963423
150,854,151,1231811,0,0,0.0,0.15638600402172087,0.0474626383430575,0.01399565355399489,0.7821557040812267
151,854,152,5921503,0,0,0.0,0.15808739774344452,0.24167293337519208,0.02231173403103908,0.5779279348503243
152,854,153,570029,0,0,0.0,0.2696213701408174,0.15212383931343845,0.05290783451368264,0.5253469560320615
153,854,154,4309489,0,0,0.0,0.12627460007439398,0.2818798238027757,0.01979469027534355,0.5720508858474868
154,854,155,2343291,0,0,0.0,0.1558577231765069,0.1945515943175645,0.04787113508309467,0.601719547422834
155,854,156,8008893,1,724797,0.09049902402242108,0.1172735108335197,0.31905108483781713,0.0257485023211073,0.4474278779851348
156,854,157,7921874,1,1152939,0.1455386692593192,0.14221937889948766,0.0929535107475832,0.037211523434985204,0.5820769176586247
157,854,158,7812036,0,0,0.0,0.13065095962179385,0.13926075097452187,0.03583598437078375,0.6942523050329005
158,854,159,3333089,0,0,0.0,0.127156520572958,0.08735050279185465,0.027164591164532362,0.758328385470655
159,854,160,4858862,0,0,0.0,3.478180693339305e-05,0.011210238117485123,0.03282414688871592,0.9559308331868656
160,854,161,9364643,1,511431,0.05461297350043136,0.19112976330224227,0.08148244412520585,0.04668357352223678,0.6260912455498837
161,854,162,1313376,0,0,0.0,0.24580622761494042,0.03370550398362693,0.031512681821504275,0.6889755865799284
162,854,163,5320898,0,0,0.0,0.17412342803789888,0.19936409230171298,0.047931758887315636,0.5785807207730725
163,854,164,12632171,2,2442743,0.19337475719731786,0.1354469473220399,0.1329683551623866,0.04211659262687308,0.4960933476913826
164,854,165,9848588,1,2055093,0.2086687959735954,0.11177216470015804,0.14376903572369967,0.04563770968995758,0.4901522939125893
165,854,166,5892670,0,0,0.0,0.1792160429822135,0.231211148766179,0.05362289081180518,0.5359499174398024
166,854,167,7892367,1,631064,0.07995877535852046,0.060972329340488095,0.12593281584599397,0.029204166506701983,0.7039319129482955
